Persona que recibe ayuda;Persona que ayuda;Relación;Forma de ayuda
Álvaro de Paredes;Inquisidor Bonilla;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Francisco de Sande;2. Contacto de la familia Espadero Paredes;2. Valedor debido a su influencia en América
Álvaro de Paredes;Esteban de Porras;3. Familia;2. Valedor debido a su influencia en América
Álvaro de Paredes;Santos García;4. Contacto de América;3. Ayuda para efectuar el casamiento
Álvaro de Paredes;Sancho Flores;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Diego López Bueno;4. Contacto de América;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Alonso Martínez Espadero;3. Familia;4. Valedor debido a su influencia en el Consejo de Indias
Álvaro de Paredes;Juan Beltrán de Guevara;2. Contacto de la familia Espadero Paredes;4. Valedor debido a su influencia en el Consejo de Indias
Álvaro de Paredes;Francisco de Ávila;2. Contacto de la familia Espadero Paredes;5. Valedor debido a su influencia en España
Álvaro de Paredes;Juan Gómez de la Cámara;2. Contacto de la familia Espadero Paredes;4. Valedor debido a su influencia en el Consejo de Indias
Álvaro de Paredes;Juan de Frías;1. Amistad;6. Encargado de establecer una influencia positiva con el virrey
Álvaro de Paredes;de Mendoza;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Toribio de Castro;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Juan de Toledo;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Leonel de Cuadros;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Mariana de Carvajal;2. Contacto de la familia Espadero Paredes;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Juan Tejado;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Antonio de Saavedra;1. Amistad;7. Prestar dinero
Álvaro de Paredes;Beatriz de Sotomayor;3. Familia;8. Matrimonio de conveniencia que permitió ascenso social y económico
Álvaro de Paredes;Juan de Luján;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Fernando de Monroy;2. Contacto de la familia Espadero Paredes;6. Encargado de establecer una influencia positiva con el virrey
Álvaro de Paredes;fray Gerónimo;2. Contacto de la familia Espadero Paredes;6. Encargado de establecer una influencia positiva con el virrey
Gutierre Espadero;de Mendoza;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Toribio de Castro;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Juan de Toledo;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Leonel de Cuadros;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Juan de Luján;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Juan Tejado;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Sancho Flores;5. Conocido;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Inquisidor Bonilla;1. Amistad;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Francisco de Sande;2. Contacto de la familia Espadero Paredes;1. Canal de transmisión para asegurar la correspondencia
Gutierre Espadero;Mariana de Carvajal;2. Contacto de la familia Espadero Paredes;1. Canal de transmisión para asegurar la correspondencia
Juan Tejado;Gutierre Espadero;1. Amistad;9. Encomendar ayuda para Álvaro de Paredes
Martín de Jirapu;Gutierre Espadero;5. Conocido;9. Encomendar ayuda para Álvaro de Paredes
Álvaro de Paredes;Gutierre Espadero;3. Familia;10. Ayuda para la adquisición de una biblioteca de contenido jurídico para el hijo de Álvaro de Paredes
Álvaro de Paredes;Martín López de Arenchu;5. Conocido;7. Prestar dinero
Inquisidor Bonilla;Santos García;6. Compañero;9. Encomendar ayuda para Álvaro de Paredes
Álvaro de Paredes;Gutierre Espadero;3. Familia;11. Dar saludos a la familia que reside en España
Gutierre Espadero;Alonso Barrantes;2. Contacto de la familia Espadero Paredes;1. Canal de transmisión para asegurar la correspondencia
Álvaro de Paredes;Gutierre Espadero;3. Familia;12. Gestionar la legítima de Álvaro de Paredes
Álvaro de Paredes;Fernando Mexía;1. Amistad;13. Llevar un poder a España
Álvaro de Paredes;Alonso de Berrio;5. Conocido;7. Prestar dinero
Álvaro de Paredes;Cristobal de Barrionuevo;5. Conocido;14. Cargar la biblioteca en la nao para que fuese trasladada a América
Álvaro de Paredes;Gutierre Espadero;3. Familia;5. Valedor debido a su influencia en España
Álvaro de Paredes;Gutierre Espadero;3. Familia;15. Enviar encargos a América
